city,pop_2018_est,place,city_y,area_land,place_type,pop_density,mh_spaces
Avenal,12923,03302,Avenal,19.42,Avenal city,665.45,23.0
Kettleman City,1395,38394,Kettleman City,0.21,Kettleman City CDP,6642.86,
Irvine,265502,36770,Irvine,65.58,Irvine city,4048.52,893.0
Los Alamitos,11628,43224,Los Alamitos,4.02,Los Alamitos city,2892.54,109.0
Newark,46276,50916,Newark,13.88,Newark city,3334.01,
Easton,2206,20928,Easton,3.01,Easton CDP,732.89,
Kerman,14649,38226,Kerman,3.27,Kerman city,4479.82,116.0
Sonora,4822,72674,Sonora,3.16,Sonora city,1525.95,874.0
Twain Harte,2523,80966,Twain Harte,3.7,Twain Harte CDP,681.89,35.0
Redway,1199,60088,Redway,1.25,Redway CDP,959.2,96.0
Rio Dell,3382,60900,Rio Dell,2.28,Rio Dell city,1483.33,92.0
Sattley,77,70336,Sattley,2.05,Sattley CDP,37.56,
Scotia,602,70518,Scotia,0.75,Scotia CDP,802.67,1.0
Seacliff,3201,70644,Seacliff,0.73,Seacliff CDP,4384.93,
Sea Ranch,1161,70712,Sea Ranch,16.14,Sea Ranch CDP,71.93,
Sequoia Crest,28,70966,Sequoia Crest,1.02,Sequoia Crest CDP,27.45,
Sereno del Mar,82,71000,Sereno del Mar,0.74,Sereno del Mar CDP,110.81,
Seville,691,71078,Seville,0.64,Seville CDP,1079.69,
Shasta,1804,71218,Shasta,10.94,Shasta CDP,164.9,41.0
Shell Ridge,1281,71362,Shell Ridge,0.43,Shell Ridge CDP,2979.07,
Shelter Cove,501,71372,Shelter Cove,5.83,Shelter Cove CDP,85.93,
Sheridan,1250,71414,Sheridan,26.03,Sheridan CDP,48.02,25.0
Hercules,25343,33308,Hercules,6.41,Hercules city,3953.67,
Oakley,40669,53070,Oakley,15.86,Oakley city,2564.25,331.0
Rodeo,10411,62490,Rodeo,3.75,Rodeo CDP,2776.27,24.0
Coalinga,16538,14274,Coalinga,6.67,Coalinga city,2479.46,283.0
Fresno,522277,27000,Fresno,114.33,Fresno city,4568.15,4192.0
West Sacramento,52826,84816,West Sacramento,21.47,West Sacramento city,2460.46,1325.0
Interlaken,7191,36613,Interlaken,9.81,Interlaken CDP,733.03,
Live Oak,17390,41922,Live Oak,3.24,Live Oak CDP,5367.28,101.0
Rio del Mar,9775,60928,Rio del Mar,3.0,Rio del Mar CDP,3258.33,
Nipomo,17445,51476,Nipomo,14.85,Nipomo CDP,1174.75,71.0
Oceanside,175389,53322,Oceanside,41.24,Oceanside city,4252.89,2438.0
Markleeville,143,45988,Markleeville,6.53,Markleeville CDP,21.9,42.0
Morro Bay,10592,49362,Morro Bay,5.32,Morro Bay city,1990.98,452.0
Fort Jones,832,25128,Fort Jones,0.6,Fort Jones city,1386.67,5.0
Valinda,25296,81638,Valinda,2.01,Valinda CDP,12585.07,
La Mirada,48974,40032,La Mirada,7.82,La Mirada city,6262.66,150.0
La Verne,32358,40830,La Verne,8.44,La Verne city,3833.89,1754.0
Lawndale,33007,40886,Lawndale,1.97,Lawndale city,16754.82,110.0
Littlerock,1766,41880,Littlerock,1.84,Littlerock CDP,959.78,59.0
Marina del Rey,9771,45806,Marina del Rey,0.86,Marina del Rey CDP,11361.63,
San Dimas,34239,66070,San Dimas,15.04,San Dimas city,2276.53,906.0
San Gabriel,40242,67042,San Gabriel,4.14,San Gabriel city,9720.29,
Alameda,78462,00562,Alameda,10.44,Alameda city,7515.52,
